No.	Site Name	System	Distance	Series	Set	Text
0228	Saud Kruger Luxury	Bedaho		Series 1	Elite History	Saud Kruger is a popular luxury brand, making passenger ships and yachts for the wealthy under its main brand name, and selling luxury holidays (using luxuriously equipped Saud Kruger vessels) to the less wealthy. It also has a thriving star chart and exploration business. / Saud Kruger ships are made under license in a great many shipyards, including the Imperial Gutamaya yards. It runs its own shipyards too, with its main yards in Bedaho, but with ither yards mostly in Independent and Imperial space, with many especially valued and super-rich Imperial clients. / Astrogator holidays range from cruises around groups of local systems, to the more extreme, and Astrogator Extreme holidays carry the image of the legendary explorer Augustus Brenquith. The holidays tend to include extreme, and frequently quite dangerous, activities in distant locations, like atmospheric wave-riding, volcano diving and magnetic surfing. Trusted intrepid pilots take these adventurers 'to the edge' for 'life-changing experiences'.
0229	Trouble Banking and Welfare Investments	Andceeth	29 ls	Series 1	Elite History	A relatively new organisation. Trouble Banking and Welfare investments is based in Andceeth. In the early days of the Deferation, Diamond star por was a major centre for commercial transactions between planetary governments. Before the days of the Universal Bulletin Board and guaranteed transfer, the worlds of Andceeth were the banking centre for the Federation. / Since the middle of the 31st century, when the system lost its significance, a group of banking entrepreneurs got together with the custodians of the vaults of Andceeth 2, also known as Trouble and began developing an investment company, using the facilities and security abandoned by the Federation.
0230	TBW Loans	Andceeth	50 ls	Series 1	Elite History	In 3300, TBW Investments provides loans and saving oppurtunities for individuals and businesses. It specialises in clients that prefer their assets to remain 'off the grid'. The rates of return are good and the vaults remain secure. They also specialise in the storage of high value items, in private, individual strongboxes, stored in deep underground vaults. Many suspect much of these contents are illegal, ans simply 'cooling off' - though of course the bank would strongly contest that. / TBW also trade in precious stones, both on behalf of clients, and running private markets around human space, but particularly withtin the Federation. They are well known as the best gemstone traders in human space. / TBW maintain their own security fleet. These are mostly fast, and well-equipped, using Fer de Lance craft mostly as comfortable executive transports, carrying small cargoes very securely with perhaps one or two clients only.
0231	FCI Information	Sol	2,623 ls	Series 1	Elite History	The Federal Criminal Investigations agency is the Federation's primary domestic security and law enforcement agency. They are numerically inferior to the state police but are better trained and equipped, and cross internal State boundaries. / They are primarily an investigative unit, although they do maintain significant enforcement units. The provide specialist operational support and police backup (like SWAT teams and undercover units) as well as more traditional support for state police forces. / There is a traditional rivalry between the FCI and the State police, but that doesn't prevent them working effectively together. / Its history goes back over a millennium, evolving out of the various security bureaus on Earth. Some rituals still remain, for example the ceremonies when its members are promoted retain an ancient, martial feel, relating to the FBI and FSB - organisations dating to a pre-Federation era - though in fact they don't really relate to them.
0232	FIA Responsibilities	Sol	2,991 ls	Series 1	Elite History	The Federal Intelligence Agency is a secretive organisation that looks after Federal interests outside the Federation. It runs both espionage and counter-espionage operations, and provides covert support for Federal diplomats abroad, providing intelligence relating to foreign operations in addition to protection. It has also been pro-active on many occassions. It has been implicated in destabilising foreign governments, and helping those wíth which the Federal Government is sympathetic or when their causes are aligned. Its operations have gone as far as providing arms and training directly to rebels, assassinations, rigged elections, all done in a clandestine and deniable way. / The FIA also follows up on major interstellar crimes within the Federation, where the crome crosses outside Federal space. It is a secretive organisation (paralleling the Imperial IISS) specialising in corruption and high level crime, and is considered not very accountable.
0233	Imperial Internal Security Service Duties	Vequess	291 ls	Series 1	Elite History	"The Imperial Internal Security Service (or IISS ""Double I, Double S"") reports directly to the Emperor and unlike other police units has jurisdiction throughout the Empire. / In some respects they act as a coutner balance to the Imerpial Navy and have the authority to investigate any individual, unit or organisation. They oprate in quite a secretive fashion as the nature of their investigations tend to be for corruption or abuse of power. and they are generally feared, as by some they are seen as unaccountable. It has, from time to time, been associated with espionage within the Empire. They act on behalf of the Emperorm and that is their allegiance. They do the Emperor's bidding. On occassion that has been to investigate the IDC."
0234	IDC - Keeping the Empire Safe	Facece		Series 1	Elite History	The Imperial Diplomatic Coprs (or IDC) reports to the Senate. Officially it operates embassies in most foreign sysems, but the IDC has far-reaching powers too and unlike other police units has jurisdiction throughout the Empire. It can support Senators and Ambassadors abroad. / The Ambassadors are the visible members of the IDC; high-ranking Imperial officials usually reporting directly to a specific Senator with an interest in their area, but also reporting directly to the Senate. Each Ambassador has a significant staff and budget to project Imperial influence. This staff is said to include secret agents that operate covertly within foreign powers and corporations, but reporting back ultimaterly to the Ambassadors, then on to the Senate.
0235	What is Interpol?	Kuk		Series 1	Elite History	Interpol provides multi-jurisdictional investigation. particularly across Alliance worlds, but also when an investigation strays beyond. In addition it provides support assets for individual Alliance forces when heavy backup is required. / Internal affairs investigations for Alliance organisations are also conducted by Interpol and upon request for member systems too. / Numerically, Interpol is smaller than most systems police forces, but is well trained, well equipped and well respected, Interpol also acts as a direct intervention force on behalf of the Assembly. / It is named after a long defunct organisation dating back more than a millennium from Earth.
0236	History of Lave	Lave		Series 1	Elite History	One of the oldest colonies of the sector, Colonial Deep Space Cruisers Herschel and Oberon reached the system then designated L-453 in 2412. Lave has been a Dictatorship from before the fall of the Galactic Cooperative. In 3174, Dr. Hans Walden came to power. / Walden established an authoritarian Dictatorship. The previous economic hardship brought about by the fall of the Galactic Cooperative were still remembered. Under Walden there was stability, just not prosperity. / Walden's rule was very long, and rumoured to involve genetic manipulation as he greatly extended his own life, with his eventual death at the hands of an assassin triggering a revolution.
0237	Walden's Dictatorship	Lave		Series 1	Elite History	Walden's dictatorship in post-GalCop decades was a study in the use of propaganda to further the illusion of contentment. The public face of Lave was a progressive culture with an enlightened leadership that was remodelling itself as an independent power in the wake of a corrupt and self-serving organisation that had based itself there. Slowly, though, the populace saw where Walden's policies were leading and began to speak up, only to be quietly dealt with. / The revolution in 3265 finally saw the end of Walden's reign of terror but saw Lave relegated to a backwater world too wrapped up in its own troubles to amount to anything on the galactic stage. Its former importance meant that Lave has becone a key tourist venue, with numerous tributes to the GalCop era in terms of museums and artefacts.
0238	Diso's History	Diso	283 ls	Series 1	Elite History	First explored in 2422 by an exploratory mission from Lave, Diso was found to contain a rich indigenous ecosystem, topped by an dominant species of rotund feline-like creatures with rich, black fur called delines. / Human settlement began around the equatorial regions and within ten years, colonists had discovered the planet's potential for agriculture. Inhabitans quickly settled into the planet's rural way of life, adjusting to a slower pace than the more industrial economies nearby.
0239	Diso Delines	Diso	283 ls	Series 1	Elite History	The indigenous delines were driven from the equatorial regions by human settlement, but are still common in the colder, higher latitudes, where they prey predominantly on various ground-dwelling  scavengers known as 'drats' - a collective name for the various rat-like creatures, hated by humans for their effects on their crops. / In the early days of Diso settlement, the delines were hunted, as they had attacked and killed human children from time to time, and in some areas they were very nearly wiped out. In the following years, the resulting drat plague destroyed crops over vast areas, so humans decided to tolerate the delines, and fence them out of human settlements instead. / Today, deline pelts are highly prized, particularly the rich pure-white pelt of the much rarer polar deline, an almost bear-like animal, but nevertheless closely related to the temperate delines.  Delines are still hunted for sport, but this is controlled, and such hunting has become a profitable tourist activity.
0240	History of Waterloo	Riedquat	147 ls	Series 1	Elite History	The planet Waterloo (simpley called Riedquat until about 3190) started life as a promising colony world when it was first colonised in 2631. Though Riedquat had indigenpous life, its was right on the margins, and the little life that existed there was tough enough to survive the harsh environment. This was the primary reason it took so long for it to be colonised. / When it was settled, the introduction of powerful fertilisers allowed crops to be grown on the hard soil, but wihtin a few decades human-introduced rodents (introduced accidently - reputedly from some pet mice) began to destroy crops en masse, and the rodent problem persists to this day, explaining the local name for Waterloo - 'Rat Hole'.
0241	Chaos in Riedquat	Riedquat	147 ls	Series 1	Elite History	By 2679 the situation on Riedquat was dire - the whole world seemed to be in conflict and the continental governments stood on the brink of toppling. At the end of 2680 that indeed happened. Civil war persisted until there were no vestiges of government left. / Somehow, the world's economy has survived, as trade remained a common, essential goal to the inhabitants of the world. Starports are classes as safe areas, as all Riedquat's population understood that the trade with other worlds was now the colony's only access to the things the world needed to stay alive. If anyone threatens these lifelines then that is one of the rare times the Riedquatiens can be seen to cooperate.
0242	Leesti's History	Leesti		Series 1	Elite History	The first colony fleet arrived in 2413, setting up mining facilities, processing plants and domes to protect the workers. As time passend and the colony expanded, the volume  of useful metals promoted organisations to locate some manufacturing plants on Leesti. By the end of the 2400s Leesti had become a popular  source for the fruits of both the mining and manufacturing industries there. / By the 2700s the wild west feel of Leesti was beginning to recede. Corporations took over the mining interests, and with the corporations came the strict security or corporate rule. Mastopolos Mining bacame the main corporation operating in the system by the 3100s, as it scquired many of the smaller mining interests. / Leesti became a popular waypoint during the 3100s for novice traders to find their space legs. The moderately profitable Leesti-Diso run provided the tripartite conglomerate with more than adequate food and agricultural supplies, whilst the return journey provided Diso's populace with computers and cpmponents.
0243	The Bank of Zaonce	Zaonce		Series 1	Elite History	Early in Zaonce's colonial history, in 2682, a former Federation banking executive named Herschel Derrey moved to the colony and set up a family banking business. He and his extended family spread their usiness around the world in only a decade and by 2693 they had earned a reputation as a level headed and reliable financial establishment. Derrey's daughter Emily brokered a loan on an undiclosed but sizeable sum of credits to an up and coming spacecraft manufacturer named Faulcon Manspace in exchange for stock options. Six years later, when the Viper was unveiled, profit rolled in and the stock options for Faulcon Manspace suddenly became vastly profitable to her family. Buoyed by this financial victory, Derrey took over several other banking concers on the world until his corporation was the sole financial establishment on the planet, although operating under different brands. They adopted the name Bank of Zoance in 2718.
0244	Pilots Federation Origins	Shinrarta Dezhra		Series 1	Elite History	The Pilots Federation has existed for a very long time. It was founded in 2805 during the great surge of private ownership of small starships enabled by the hugely competitive modular ship designs made available during the previous decades. / It was founded as much as a way of agreeing prices for ship parts en masse (where member benefit from group discounts), but soon becane much more, providing a system where trusted pilots could share route information and protect each other from a new scourge - also enabled ny the proliferation of small starships - of interstellar piracy. Over the years an unofficial tally of pirate kills amongst some members began as 'bragging rights' but soon members started showing their kills on their online IDs, and before long those without such a rating were referred to as 'Harmless' - and by implication not so desirable to provide cover on a route known for pirate attacks. / Gradually, the Pilots Federation grew to encompass a great many pilot-owners and their ships. It also provided an element of respectability as the itinerant nature of their lifestyles had started to bring suspicion amongst planet-siders - where the lack of accountability of space farers brought about by their ability to simply move on to a different system before the law caught up with them gave them a bit of a reputation as cowboys or as thieves in certain places. The Pilots Federation would not tolerate dishonourable behaviour among its members, and so such members would wear the PF's logo with pride - earning them a little respect in their dealings, and an antidote to the cowboy image.
0245	The Elite	Shinrarta Dezhra		Series 1	Elite History	In 3100 the Pilots Federation began issuing modified version of its 'wings' badge that included the pilot's rating written across it in capitals, and made official the names of these ratings, starting with 'Harmless, then 'Mostly Harmless', all the way to 'Elite'. The most coveted was the 'Elite' badge, and the first of these was awarded to Commander Peter Jameson, who wore it on the rear of his Cobra MkIII for the rest of his life. / Before long this small and highly respected group of pilots with these coveted badges became known as 'The Elite'. They received all sorts of offers - both commercial and personal - (including offer of marriage!). The commercial side became valuable - whether it was transporting royalty or taking unknown items 'no questions asked'. The group was considered utterly trustworty, with the confidentiality assured, and its members took this very seriously.
0246	The Elite Federation of Pilots	Shinrarta Dezhra		Series 1	Elite History	As their reputation spread, the small group became overwhelmed. There was no way they could satisfy anything like all the demands on them, so the formed 'The Elite Federation of Pilots'. This was a sub-group of the Pilots Federation and it ran its own system to exchange offers between its members. It was quite secretive, and hugely respected, and there was a high demand for their services. Their main problem was how few 'Elite' pilots there were. Many pilots would get rich and retire long before they attained the coveted 'Elite' status; the fundamental problem was that the rating was a kill count. Wise members of the group realised that, in fact, they were no better pilots than some younger pilots with much lower ratings - they had just been doing it for longer - though others outside the group didn't see it like that. They wanted the cachet of employing an 'Elite' pilot. They were also aware that the pirates were getting better. They were better organised than in the early days, and better equipped. / It is rumoured they run secret bases and have their own technologies, but what is known for certain is they are highly respected, and get generous discounts throughout human space. In practice the aura of secrecy proved a great strength. The EFP now has representatives throughout human space and beyond, and it is an organisation to which every pilot aspires to be a member.
0247	Pilots Federation Secrecy	Shinrarta Dezhra		Series 1	Elite History	The Pilots Federation in many ways is a secretive organisation. This in part reinforces its status of neutrality. It exists to support pilots, not nationalities or political factions. Over the years this has led to its acceptance (albeit grudging in some cases) in practically all human domain. / Despite its ubiquitous presence it has very little direct dealings with the public. Even member pilots tend to interact via the networked rankings and bounties system. The prime exception to this is registration. A pilot has to register in person for their PF license. Registration is performent at offices throughout human habitted space. / The PF represents the nearest thing to law in uncontrolled and ungoverned space. Their existence provides a safely net for human expansion in space beyond the major factions. / The Elite Federation of Pilots (EFP) continues as a select and extremely secretive group within the larger organisation.
0248	Pilots Federation Interests	Shinrarta Dezhra		Series 1	Elite History	The Pilots Federation as an organisation controls a vast financial empire. This is not public knowledge, although the major intelligence services are aware of the fact. However for the most part these financial resources are used to improve safety for pilots and for funding bounties used to improve safety for pilots and for funding bounties where local authorities do not (or in uncontrolled space), some governments have been known to take advantage of this. / The Pilots Federation also takes a private interest in the independent venture with new colonies, this will typically be masked by front companies. In only one known case has the PF taken control of a world or system - see the Founders' World section below. / As well as providing fund for bounties it also receives transaction fees for completed bounties that are processed through the PF bounty system - and in many cases retains unclaimed bounties where, for whatever reason, the pilot who has earned it doesn't claim it. / By far the most significant contribution to the PF's finances is the near monopoly it has for the embedded ship and station systems.
0249	Pilots Federation's Near Monopoly	Shinrarta Dezhra		Series 1	Elite History	Historically the Pilots Federation has been a trusted soure of information for pilots. As humanity expanded into space that need for informatiuon continued to grow. / Before 3100 they provided data for many ship and station manufacturers. After 3100 in an understated, but effective campaign of acqusitions and mergers they came the dominant provider of this data as well as the hardware and software solutions serving that data. / From star chart data, ship data and bounty management systems the Pilots Federation expanded their data sources to include markets, newsfeeds and communication systems. / In 3300 the Pilots Federation's GalNet system has a near monopoly on all shipboard and station embedded systems. The systems are fitted as standard on nearly all independent ships and even some militaries. It's a testament to the trusted nature of the PF that his monopoly has occured with the little resistance bar some back room negotiations.
0250	Pilots Federation's Influence	Shinrarta Dezhra		Series 1	Elite History	Officially, the Pilots Federation is apolitical: as an organisation it does not interfere with the internal workings of systems or factions. However this official stance is a misnomer. The PF wields considerable power through its web of political contacts as well as the application of the bounty system and control of the ship and station embedded systems. / It also uses a lot of soft power by providing pilot safety support throughout human space. / There are also known cliques within the PF (The Dark Wheel is probably the most famous) that have their own agendas. Officially these are discouraged, but in an organisation so large they are tolerated as long as they don't overstep the mark.
0251	Pilots Federation's Secrecy	Shinrarta Dezhra		Series 1	Elite History	Much of what the Pilots Federation does revolves around secrecy; and this has many layers. Within the Pilots Federation, the Elite Federation of Pilots is even more mysterious and secretive, and at the centre of that is the elusive 'Founders World'. / It is the only system directly controlled by the EFP, and even its location is closely guarded. The secrecy is maintained by the EFP using 'misinformation' - there are a great many rumours of its rough location - and they all contradict each other. Only a select few - the members of the EFP - know the truth. / The system is governed by the EFP and it is here that the organisation's headquarters is based. / EFP members are allowed to retire here in relative anonymity.
0500	Octavia Quinton's Derelict Asteroid Base	Suijin		Series 2	Elite History	A ruined base left over from events in 3300. The base was rumoured to be a stronghold of notorious pirate lord Octavia Quinton, who was killed in mid 3300 when she became involved in the Reclamation of the Prism system. Today it is a ruin and visitors are warned no to venture within. Rumours abound that it is heavily booby-trapped.
0501	Children of Raxxla Staging Post	Eafots BP-I D9-35		Series 2	Elite History	In mid-3302 the Children of Raxxla set up an outpost near the Heart and Soul Nebula in order to support investigations into a mysterious area of space known as the 'Formidine Rift'.
0502	Slough Orbital - The Cheese Wheel Bar	Vesper-M4		Series 2	Elite History	Morbid true-crime tourists will enjoy the dark and moody ambiance of this bar and fine-cheese dispensary, the scene of the most grisly murder to happen in the system in living memory. The owner was found dead, his head sawed in two by one of his own cheese slicers. No proof of who, or what, committed the crime was ever discovered. The murderer remains at large. / The murder was first reported in the Slough Observer by rookie reporter, Jack Nova.
0503	Battle of Chione	Prism		Series 2	Elite History	In 3300 a major conflict between Federal and Imperial forces took place in the Prism system, above the Chione moon. The conflict was precipitated by the exiled Senator of Prism, Lady Kahina Tijani Loren, partly in response to the Chione 'Reclamation', a rebellion, which took place on the moon below. The Prism system was restored to Imperial jurisdiction as a direct result of the battle.
0504	Remains of Imbrium City	Brohman	237 ls	Series 2	Elite History	Here is the site of what was once Imbrium City, now a mass grave which marks the bombing of Villist.
0505	Battle of Villist	Brohman		Series 2	Elite History	The Battle of Villist took place in orbit around the planet, and was really a series of smaller battles. Many pilots lost their lives in the engagements.
0507	Freeholm Victory	Artemis	2,132 ls	Series 2	Elite History	In 3301 Freeholm successfully defeated an invasion from the planet Laphria's forces.
0508	Secret Base	Soontill	18 ls	Series 2	Elite History	This is rumoured to be the site of the CIEP base. Some stories claim a combined Human-Thargoid project took place here.
0512	Voyager	Sol	2,069,476 ls	Series 2	Elite History	The Voyager probes were the first man-made objects to leave the Solar System. They were launched from ancient Earth in 1977.
0620	All For Germanium	Vonrictofen's Rescue	1,156 ls	Series 3	Elite History	Here is where Commander Chiggy Vonrichtofen completed an incredible rescue that captured the imagination of an entire community. He travelled halfway across the galaxy to assist Commander Macedonica, who'd become trapped in this distant system.
0632	Alien Crash Site?	Pleiades Sector AB-W B2-4		Series 3	Elite History	Commanders Noctrach and Ihazevich discovered the crash site, of what many believe to be an alien ship here.
0633	Crashed Vessel	HIP 17403		Series 3	Elite History	This crash site of what may be an alien spaceship is a popular destination for more adventurous tourists.
0634	Ship Wreckage	HIP 17862		Series 3	Elite History	Mysteries like this crash site are an attractive draw for sightseers - despite the dangers!
0635	Ancient Ruins	Synuefe XR-H d11-102		Series 3	Elite History	The interception of a video transmission provided enough information for Commander Basch Fon Ronsenburg to triangulate the location of these ruins. There has been much speculation by researches as to the origins of the ruins. Some have suggested that it could be over a million years old. Others have wondered if there are more of those sites yet to be found.
0636	Mic Turner Bark Mounds	California Sector BA-A E6	47 ls	Series 3	Elite History	This bark mound population is popular with scientists and sightseers alike. Its close proximity to an Alliance base has caused much speculation.
0637				Series 3	Elite History	
0649	Leesti is Free	Leesti		Series 3	Elite History	Commander Schlack reports that on 6th September 3302, AEDC returned this system to the control of Independent Leesti for Equality from a year long domination of the system by the ruthless Justice Party dictatorship. Their nefarious acts funded by the sales of Leestian Evil Juice were put to an end.
0650				Series 3	Elite History	
0651				Series 3	Elite History	
0652				Series 3	Elite History	
0653	Neutron Dusk	Kyloarph RT-R d4-3469		Series 3	Elite History	
0654				Series 3	Elite History	
0655				Series 3	Elite History	
0656				Series 3	Elite History	
0657				Series 3	Elite History	
0659				Series 3	Elite History	
0660				Series 3	Elite History	
0663				Series 3	Elite History	
0664	Pleiades Sector HC-U b3-0 Bark Mound Site	Pleiades Sector HC-U b3-0		Series 3	Elite History	The life cycle for Bark Mounds has yet to be fully witnessed. As such, no one is quite sure how it spreads between planets, and even star systems.
0665	Wildlife Reserve Campaign Concludes	LP 339-7		Series 3	Elite History	"In December 3302 media outlets in the LP 339-7 system have reported that the Starship Enterprises Corporation wildlife reserve campaign has reached a successful conclusion. / Dr. Lewis Chapman, CEO of Starship Enterprises, released the following statement: / ""We are delighted with the response to this campaign. As we speak, hundreds of animals are being grown in special in-vitro chambers. Soon they will be transported to the reserve."""
0666	The Colonia Expansion	Colonia		Series 3	Elite History	Ever since Jaques Station arrived in Eol Prou RS-T d3-94 in June 3302, thousands of galactic citizens have migrated to the system in search of a new way of life. The migration movement has resulted in a number of new outposts in the region, as well as a chain of stations connecting the burgeoning community with the core systems. / With the colony now firmly established in Eol Prou RS-T d3-94 - recently renamed Colonia - the system's governing body, the Colonia Council, has announced plans to colonize the surrounding systems.
0667	Prisoner Convoy Destroyed	Daibo		Series 3	Elite History	On November 25th 3302 a prisoner convoy has been interdicted and destroyed in the Daibo system while en route to Koontz Asylum. Wreckage found in Daibo has been positively identified as belonging to the Imperial Cutter 'Diadem' and the Imperial Clippers 'Cypripedium', 'Velum', 'Monile' and 'Vestimenta'. / It has been confirmed that the convoy was carrying various political dissidents, convicted murderers and terrorists. Among them was the infamous Kahina Loren, recently found guilty of the attempted assassination of Admiral Denton Patreus.
0668	Construction Convoy Assembled	Zearla		Series 3	Elite History	On 18th November 3302 a large convoy of heavy construction ships and associated support vessels was assembled by Wreaken Construction in the Zearla system. / Some commentators believed this was directly linked to Admiral Denton Patreus's recent comments concerning the London Treaty.
0669	Anarchist Organisation Closed Starport	Elli		Series 3	Elite History	On November 10th 3302 Wright City in the Elli system fell prey to a chemical-weapon attack. / The attack was believed to have been executed by the anarchist organisation Revolution Incorporated, which recently placed orders for a quantity of Toxandji Virocide, a rare pesticide. It was understood the group used the pesticide as the basis for a potent chemical weapon. / The impact on the starport has been catastrophic. Over a dozen individuals have lost their lives, and hundreds more are in critical condition. As a result, the starport was closed until further notice.
0670	Patreus' Flagship Attacked	Eotienses		Series 3	Elite History	"On November 4th 3302 eyewitness reports from the Eotienses system indicate that an attack has taken place on Admiral Denton Patreus' flaship, the INV Imperial Freedom. The Majestic-class Interdictor was heavily damaged in the altercation and was ignominiously forced to withdraw from the field of combat. / an organisation known as the Children of Raxxla claimed responsibility for the attack. In a statement, the organisation said it had been ""backed into a corner"" after diplomatic entreaties regarding Kahina Loren - whom it referred to as Salomé - had gone unanswered."
0671	Pleiades Resource Enterprise Victorious	Maia		Series 3	Elite History	"On November 1st 3302 reports from Maia indicated that the Pleiades Resource Enterprise successfully overcame resistance from the Ant Hill Mob to gain a foothold in the system. / A spokesperson for the Pleiades Resource Enterprise released a brief statement: / ""The Ant Hill Mob believes our expansion into Maia was orchestrated by Federal officials, but I think they're just looking for a way of explaining their defeat. In war, it's the stronger side that wins. Simple as that. We may be aligned with the Federation, but we were acting on our own behalf."""
0672	Kahina Loren Found Guilty	Prism		Series 3	Elite History	On November 28th 3302 an announcement was made outside the Prism Hall of Justice confirming that Kahina Tijani Loren had been found guilty of the attempted assassination of Admiral Denton Patreus. The announcement was met with cries of dismay from a crowd of Loren's supporters, who had turned out to hear the verdict.
0673	Patreus Rails Against London Treaty	Achenar		Series 3	Elite History	"On October 21st 3303 Admiral Denton Patreus spoke in strident tones about the London Treaty. The treaty, established in 3278, imposes limits on capital-ship construction in order to prevent possible arms races. / ""This treaty was foisted on us by overzealous Federal lawyers,"" said Patreus. ""Now it is used to limit our ability to defend ourselves. This I cannot accept."" / ""I am proud to announce that henceforth the Empire will build as many ships as it needs, treaty restrictions be damned!"""
0674	Kahina Loren Stripped of her Rank	Prism		Series 3	Elite History	"On October 14th 3302 Kahina Tijani Loren was stripped of the rank of senator for delegating her responsibilities in respect of the Prism system to Ambassador Cuthrick Delaney in 3301. / An aide for Admiral Denton Patreus said: ""Loren gave up her senatorial responsibilities, so it's unreasonable that she continue to be protected by the title. Frankly, she shouldn't be described as a 'lady', either, but we will let the cours make that determination."""
0675	Alliance Outpost in the California Nebula	California Sector BA-A e6		Series 3	Elite History	"On October 13th 3302 the Alliance announced plans to construct a new outpost on California Sector BA-A E6 4. / According to an Alliance spokesperson, the station will serve as ""a centre for scientific study, supporting our ongoing research into the organic structures and meta-alloys."""
0676	Curious Transmission Partially Decoded	Tionisla		Series 3	Elite History	In early August 3302, an antique Cobra Mk III was interred at the Tionisla Orbital Graveyard. Shortly before the ship was laid to rest, a beacon abord the vessel transmitted a repeating sequence of curious characters. / The sequence was picked up by several relay posts in the Tionisla system, and it has now been determined that it contains content obscured with an unknown encryption. The encrypted data is followed by an apparently meaningless clear-text phrase: 'The vain queen rides a giraffe that remembers her daughter's hero.'
0677	Imperial Expansion	Pleiades Sector AB-W B2-4		Series 3	Elite History	"On September 29th 3302 a spokesperson for the Merope Expeditionary Fleet announced that its appeal for construction materials was enthusiastically received by the galactic community. Scores of independent pilots responded to the organisation's request, resulting in a massive influx of deliveries to Obsidian Orbital, the organisation's base of operations. The materials will be used to construct a new Imperial operating base in the Pleiades Sector AB-W B2-4 system. / The spokesperson released a statement: / ""I know there are some who decry the Empire for its part in this conflict. They believe that if we simply walked away, the conflict would end. But sometimes the only way to achieve peace is by opposing the tyrannical."""
0678	Chairman of Metadrive Inc. Passes Away	Chi Orionis		Series 3	Elite History	Sad News from the Chi Orionis System on September 23rd 3302 as reports that Femi Dakarai, chairman of the hyperdrive-research company MetaDrive Inc., passed away following a short illness. / Dakarai was taken ill the previous week after working tirelessly to secure financial backing for the company. Board members reported that he was working long hours and had been showing signs of stress for several months. An assessment of metaDrive Inc. by an independent auditing firm appears to have been the final straw.
0679	Halsey Shares Her Vision	Sol	749 ls	Series 3	Elite History	On September 20th 3302 former Federal president Jasmina Halsey broke her silence to share news of “a compelling vision” with the galactic community. / In a public address at the Gotham Park in the Alioth system, Halsey described the nature of her vision: / “I saw a place of extraordinary beauty. A paradise. It was truly wonderful.” / “This was no dream - it was a glimpse of something very real.” / “We must find this place. It could be our future.”
0680	Imperial Operation Succeeds	Mu Koji		Series 3	Elite History	On September 15th 3302 the Xuangu Crimson Major Network announced that the imperial Operation to recover valuable intelligence from Federal convoys in the Mu Koji system was a success. / But although the Empire achieved its primary goal, victory came at a cost. Independent correspondents, reporting from Mu Koji, confirmed that the Empire lost considerably more ships than the Federation.
0681	The Colonia Connection	Latugara	443 ls	Series 3	Elite History	On September 15th 3302 Latugara PLC. an independent organization based in the Latugara system, announced plans to construct a series of outposts between the core of human-inhabited space and the rapidly expanding Colonia Nebula Community. / In a statement, the organization’s spokesperson said: / “Given the relatively remote nature of the Colonia community, there’s a clear need for a series of resupply outposts to support ships travelling to and from the Colony. These new bases will bridge the gap between the burgeoning Colonia community and the core systems.”
0682	Out Of Reach, Not Out Of Mind	Merope		Series 3	Elite History	On September 2nd 3302 the Canonn Interstellar Research Group released further information about the Unknown Probe. / Shortly after planetary data was found in the probe’s tight-beam transmission, a message was sent to the Canonn from a pilot by the name of Commander Wace. It read: “The headerless octal number - it is distance compared to Merope!” / In an impressive display of field mathematics, Commander Wace pin-pointed the COL 70 Sector FY-N C21-3 system as the Probe’s zero point. Unfortunately, the Canonn is prevented from further investigation of the system by the permit lock of the COL 70 Sector.
0683	Commander Salomé Hijacked In Cemiess	Cemiess		Series 3	Elite History	On August 23rd 3302 articles published by the Imperial Citizen may have inspired an act of violence in the Cemiess system over the weekend. Commander Nodus Curious of the Chapterhouse of Inquisition reported a transmission from Commander Salome’ of the Children of Raxxla, indicating that her ship had been attacked by unknown forces. / The Imperial Citizen had suggested that Commander Salome’ is in fact Senator Kahina Tijani Loren of the Prism system. The publication also implied that she had engineered the events that led to her family’s death in order to position herself as heiress of the Loren family dynasty.
0684	Unknown Probe Code	Merope		Series 3	Elite History	On August 20th 3302 The Canonn Interstellar Research group discovered, recorded and translated a tight-beam transmission from an Unknown Probe directed at Merope 5c. / Research into the Probes has so far been hindered by their scarcity, but with the number of Probes found increasing, transmission analysis efforts ramped up, leading to successful decryption. The transmission was found to contain blocks of octal numbers describing planetary data such as radius, surface temperature, gravity and atmospheric composition.
0685	Federation Takes Pleiades Sector IH-V C2-16	Pleiades Sector IH-V C2-16		Series 3	Elite History	"On August 18th 3302 the Pleiades Resource Enterprise confirmed that the Federation took control of the Pleiades Sector IH-V C2-16 system, having ousted the incumbent Imperial Inquisition. In a statement, a spokesperson for the organization thanked the many Federal pilots who took part in the operation. / ""This victory brings with it the promise of a brighter tomorrow - a brighter tomorrow for the people of IH-V C2-16, who are now free from the dehumanising influence of the Empire, and a brighter tomorrow for the Federation, which has gained a valuable strategic asset."""
0686	Repairs Concluded	Colonia		Series 3	Elite History	On August 10th 3302 personnel at Jaques Station announced that their appeal for repair materials reached a successful conclusion more than a week before the campaign was scheduled to end, thanks to the enthusiastic support of the galactic community.
0687	Boosting the Federal Fleet	Gooheimar		Series 3	Elite History	"On August 4th 3302 the Federation announced plans to expand its Navy with three new Farragut-class Battlecruisers. The development follows a recent initiative to add three new capital ships to the Imperial fleet. / In a statement, Federal President Zachary Hudson spoke candidly about the motivation behind the campaign. / ""We live in uncertain times, and we are on the brink of an uncertain future. When I speak to the people of the Federation, I want to be able to promise them that their homes and families are safe. By contributing to this campaign, you can help me keep that promise."""
